feature,correct_mean,correct_std,wrong_mean,wrong_std,diff_wrong_minus_correct,abs_diff
all_length,150.4274385408406,61.74317397286315,190.79310344827587,102.95796427544347,40.365664907435274,40.365664907435274
reasoning_length,146.57018239492467,60.9816199140992,186.36206896551724,103.30481184354508,39.79188657059257,39.79188657059257
reasoning_margin_mean,11.328287426277958,1.7997747191345606,10.229643397227827,2.4255077724587237,-1.0986440290501314,1.0986440290501314
all_margin_mean,11.48295812422448,1.7584334442751972,10.41589418397829,2.3265883919190156,-1.0670639402461894,1.0670639402461894
final_margin_mean,16.794571021582044,2.485081353440613,15.74982598538696,3.439466186303685,-1.0447450361950832,1.0447450361950832
final_length,3.85725614591594,9.13715188276867,4.431034482758621,3.0785737696099518,0.5737783368426812,0.5737783368426812
reasoning_top1_min,-1.4675129498096748,0.5986868174778731,-1.7397929453448275,0.6896160541906602,-0.2722799955351527,0.2722799955351527
reasoning_margin_min,-0.12227578338620144,0.41945858116631884,-0.27989459948275863,0.5065156742180066,-0.1576188160965572,0.1576188160965572
reasoning_entropy_max,1.2200419136243004,0.21741274261953397,1.349052719708076,0.19384873882263015,0.12901080608377558,0.12901080608377558
reasoning_longest_run_lp_below_-2,0.17525773195876287,0.38033823839447384,0.27586206896551724,0.4508511812769289,0.10060433700675436,0.10060433700675436
reasoning_entropy_last_minus_first_third_mean,-0.07968593695823947,0.07756146886425162,0.002812827914988773,0.1669630180367333,0.08249876487322824,0.08249876487322824
reasoning_entropy_mean,0.11638121861085866,0.05214542575143944,0.17137892320657622,0.1089890708928861,0.05499770459571755,0.05499770459571755
reasoning_top1_last_minus_first_third_mean,0.05085730277182659,0.05906466066532309,-0.003727687254961223,0.11936835391089148,-0.054584990026787815,0.054584990026787815
all_entropy_mean,0.11357882928704066,0.050730214246964,0.16544042967274117,0.09746816422325806,0.05186160038570051,0.05186160038570051
reasoning_entropy_std,0.2491297965982559,0.059705572878160855,0.3000509151504217,0.0857918443275369,0.0509211185521658,0.0509211185521658
reasoning_top1_std,0.20922759497944746,0.07516592713825358,0.25461219500586,0.10284825270931743,0.045384600026412564,0.045384600026412564
all_top1_std,0.2069579332902981,0.07441978591794304,0.25129766668243936,0.09982864187697801,0.044339733392141256,0.044339733392141256
final_top1_min,-0.029131721155323632,0.14237105016210083,-0.07272120999102291,0.22966078270026433,-0.04358948883569928,0.04358948883569928
reasoning_top1_mean,-0.07054554153972471,0.03612719387971374,-0.10492869688358682,0.07764287446440066,-0.034383155343862104,0.034383155343862104
all_top1_mean,-0.06880873866960416,0.03516969594196055,-0.10094195065062718,0.06912954013312644,-0.03213321198102302,0.03213321198102302
final_entropy_mean,0.01596890295934505,0.04258165438592041,0.031363845250398516,0.06808038634085996,0.015394942291053464,0.015394942291053464
final_top1_mean,-0.00742102830754202,0.03692689275099288,-0.014446396860509945,0.04396064470120749,-0.007025368552967925,0.007025368552967925
reasoning_ratio_lp_below_-2,0.0014100923401938366,0.003680542191165392,0.0022100362955396547,0.0049704868169568,0.0007999439553458181,0.0007999439553458181
reasoning_ratio_lp_below_-3,0.00011574941166467169,0.0009325631110168343,0.0002310613698998454,0.0012929202677435358,0.0001153119582351737,0.0001153119582351737
