feature,coef
all_top1_mean,-2.35382876978679
reasoning_entropy_mean,-1.873784859684241
reasoning_top1_mean,-1.6744888662795094
final_margin_min,1.6632660782629891
all_entropy_last_third_mean,1.4522274202872492
reasoning_entropy_last_minus_first_third_mean,-1.3056552963626697
all_top1_first_third_mean,1.2559647384885193
final_top1_min,-1.218611050173817
reasoning_entropy_last_third_mean,-0.9935011708512489
final_margin_std,0.9857648159660343
all_entropy_mean,-0.9566466149851723
reasoning_margin_mean,0.8107492011684367
final_entropy_std,-0.80981967102086
final_top1_slope,-0.7626557291744075
reasoning_entropy_std,-0.7549072994100853
all_top1_last_minus_first_third_mean,-0.7360408628419043
all_margin_mean,-0.7277500194171855
final_top1_mean,0.679392230986608
all_entropy_last_minus_first_third_mean,0.6742220060704147
reasoning_top1_slope,0.6348779648892472
final_margin_mean,-0.6083617237058695
final_top1_last_minus_first_third_mean,-0.6065042931091996
reasoning_entropy_first_third_mean,0.5892976693467867
final_top1_last_third_mean,-0.5400026930913773
all_entropy_first_third_mean,0.5048871321487028
reasoning_top1_last_third_mean,0.49390511335848797
all_top1_last_third_mean,0.46676600083477526
reasoning_top1_std,-0.4439584208059567
gold_answer,-0.4336871486673733
final_top1_first_third_mean,0.37961876434567604
reasoning_length,-0.36971550175399165
reasoning_longest_run_lp_below_-2,0.3552806762417757
all_longest_run_lp_below_-2,0.35236941947646827
reasoning_margin_std,0.3410698198067694
reasoning_ratio_lp_below_-2,-0.336965675443378
reasoning_top1_last_minus_first_third_mean,0.3312601071488005
all_length,-0.32883977336779924
final_entropy_max,0.31323039985459206
final_length,0.2663980293110251
all_top1_slope,-0.26350043756995584
reasoning_ratio_lp_below_-3,0.22350312190482685
final_entropy_mean,0.21622573739536757
all_entropy_std,-0.17480028871065598
all_ratio_lp_below_-3,0.17366652226983628
final_entropy_first_third_mean,0.16960333835871605
all_top1_min,0.16503171712580678
reasoning_top1_min,0.1627830059998312
reasoning_entropy_max,0.14672503828191671
all_entropy_max,0.14518086340312514
final_entropy_last_minus_first_third_mean,-0.12785565847184302
final_entropy_last_third_mean,-0.09233178090455577
final_top1_std,0.07454690391395888
reasoning_top1_first_third_mean,0.05434247854548687
all_top1_std,0.04490657115406691
final_ratio_lp_below_-2,-0.03252610456674934
final_longest_run_lp_below_-2,-0.03252610456674934
reasoning_margin_min,0.02444334073921781
all_ratio_lp_below_-2,0.015067063040784033
all_margin_min,0.014165947043206398
all_margin_std,-0.004043811016768191
all_candidate_count_mean,0.0
reasoning_candidate_count_mean,0.0
final_candidate_count_mean,0.0
final_ratio_lp_below_-3,0.0
