feature,coef
all_entropy_mean,-2.536395103951461
all_top1_mean,-2.2354563515808823
all_entropy_first_third_mean,0.8860158975655579
all_top1_first_third_mean,0.7484212931090176
all_top1_min,0.6712895317110958
all_top1_last_third_mean,0.640494719317564
all_longest_run_lp_below_-2,0.5875509124267538
all_top1_std,0.5379544975511517
all_length,-0.497553298617085
all_entropy_std,-0.44603953854652734
all_entropy_last_minus_first_third_mean,-0.43890978784794177
all_ratio_lp_below_-3,0.4385401756915663
all_entropy_last_third_mean,0.43785639519763986
all_ratio_lp_below_-2,-0.38375446192196155
all_top1_last_minus_first_third_mean,-0.17317813240957713
all_top1_slope,-0.1322731580493593
all_entropy_max,0.1158721177346348
all_margin_min,0.0807967947212311
all_margin_mean,0.07286699726024402
all_margin_std,-0.0067154809534354576
all_candidate_count_mean,0.0
