feature,coef
reasoning_top1_mean,-2.439590622383597
reasoning_entropy_mean,-2.2730573391382665
reasoning_top1_first_third_mean,0.7670319330078971
reasoning_entropy_first_third_mean,0.756881945160474
reasoning_top1_min,0.593139212713259
reasoning_top1_last_third_mean,0.5586354043996117
reasoning_entropy_std,-0.5279211696233549
reasoning_longest_run_lp_below_-2,0.49410979630515584
reasoning_length,-0.4937081143072215
reasoning_entropy_last_minus_first_third_mean,-0.45882992587924226
reasoning_ratio_lp_below_-3,0.38941615330901025
reasoning_top1_std,0.32796038974249603
reasoning_entropy_last_third_mean,0.24182506446936955
reasoning_top1_last_minus_first_third_mean,-0.22155331138805806
reasoning_ratio_lp_below_-2,-0.21923276748812331
reasoning_entropy_max,0.1466905874423806
reasoning_margin_mean,0.13405767633041765
reasoning_margin_min,0.09011326908813738
reasoning_top1_slope,0.07152130758499758
reasoning_margin_std,0.00839241739362796
reasoning_candidate_count_mean,0.0
