feature,coef
final_margin_min,1.739531042351378
final_margin_std,1.212357324207543
final_top1_min,-1.0687184939702459
final_top1_slope,-0.8980536820871732
final_entropy_mean,0.7874075193900751
final_top1_last_minus_first_third_mean,-0.6238583105855884
final_entropy_std,-0.6088616845542822
final_top1_last_third_mean,-0.5780101591683376
final_top1_mean,0.5769584504524466
final_entropy_last_third_mean,-0.4214907220170312
final_margin_mean,-0.39316922913575075
final_entropy_last_minus_first_third_mean,-0.3206741635931625
final_entropy_first_third_mean,-0.28779839184145767
final_top1_first_third_mean,0.2615583231761303
final_length,0.17041961595359661
final_top1_std,0.1359376639157766
final_entropy_max,0.07892488332883199
final_longest_run_lp_below_-2,-0.013723542709991538
final_ratio_lp_below_-2,-0.013723542709991538
final_candidate_count_mean,0.0
final_ratio_lp_below_-3,0.0
