feature,coef
reasoning_entropy_mean,-2.444333705775899
reasoning_top1_mean,-2.202967906742415
reasoning_top1_min,0.8975558821689075
reasoning_top1_first_third_mean,0.888114070997733
reasoning_top1_std,0.8784200559701196
reasoning_entropy_first_third_mean,0.7411443338303307
reasoning_top1_slope,0.6229703259316236
reasoning_top1_last_third_mean,0.5696116708286774
reasoning_entropy_std,-0.5410127961044446
reasoning_ratio_lp_below_-3,0.39909718374755265
reasoning_entropy_last_minus_first_third_mean,-0.37717664890757346
reasoning_entropy_last_third_mean,0.3266538503532621
reasoning_top1_last_minus_first_third_mean,-0.315489450021623
reasoning_longest_run_lp_below_-2,0.23063393622289194
reasoning_margin_mean,-0.1424990338724255
reasoning_margin_min,0.1051814195197077
reasoning_margin_std,0.09177752491639196
reasoning_ratio_lp_below_-2,0.062245486041744486
reasoning_entropy_max,-0.02611026511824612
reasoning_candidate_count_mean,0.0
